discourse_markers,discourse_type,discourse_subtype
causal-cause:55->56:0:_,causal,cause:55->56:0:_
adversative-concession:56->58:0:dm-though-283,adversative,concession:56->58:0:dm-though-283
organization-phatic:57->56:1:lex-indwd-273,organization,phatic:57->56:1:lex-indwd-273
joint-other_m:58->8:2:_,joint,other_m:58->8:2:_
"topic-question:59->60:1:grf-qst-292
",topic,"question:59->60:1:grf-qst-292
"
elaboration-additional:60->58:2:_,elaboration,additional:60->58:2:_
"restatement-repetition_m:61->60:0:ref-dem-295,301+sem-lxchn-299,305",restatement,"repetition_m:61->60:0:ref-dem-295,301+sem-lxchn-299,305"
"evaluation-comment:62->60:2:_
",evaluation,"comment:62->60:2:_
"
"restatement-repetition_m:63->62:0:sem-lxchn-309,316+sem-lxchn-310,317+sem-lxchn-312,318
",restatement,"repetition_m:63->62:0:sem-lxchn-309,316+sem-lxchn-310,317+sem-lxchn-312,318
"
joint-other_m:64->8:2:_,joint,other_m:64->8:2:_
topic-question:65->66:1:grf-qst-333,topic,question:65->66:1:grf-qst-333
evaluation-comment:66->64:0:_,evaluation,comment:66->64:0:_
restatement-repetition_m:67->66:0:_,restatement,repetition_m:67->66:0:_
topic-question:68->72:2:grf-qst-343,topic,question:68->72:2:grf-qst-343
elaboration-attribute:69->68:0:syn-mdf-340+syn-relcl-342,elaboration,attribute:69->68:0:syn-mdf-340+syn-relcl-342
joint-other_m:70->68:1:_,joint,other_m:70->68:1:_
organization-phatic:71->70:0:_,organization,phatic:71->70:0:_
"context-background:72->75:0:ref-prs-351,376
",context,"background:72->75:0:ref-prs-351,376
"
elaboration-attribute:73->72:0:syn-mdf-359+syn-relcl-361,elaboration,attribute:73->72:0:syn-mdf-359+syn-relcl-361
"joint-sequence_m:74->72:1:dm-and-363+dm-then-364
",joint,"sequence_m:74->72:1:dm-and-363+dm-then-364
"
"topic-question:75->76:0:syn-sbinv-375+grf-qst-383
",topic,"question:75->76:0:syn-sbinv-375+grf-qst-383
"
joint-other_m:76->8:2:_,joint,other_m:76->8:2:_
organization-phatic:77->78:0:_,organization,phatic:77->78:0:_
"topic-question:78->79:1:grf-qst-392
",topic,"question:78->79:1:grf-qst-392
"
causal-cause:79->81:0:_,causal,cause:79->81:0:_
"restatement-repetition_m:80->79:0:_
",restatement,"repetition_m:80->79:0:_
"
"joint-other_m:81->8:2:_
",joint,"other_m:81->8:2:_
"
evaluation-comment:82->81:1:lex-indwd-408,evaluation,comment:82->81:1:lex-indwd-408
"restatement-repetition_m:83->82:0:_
",restatement,"repetition_m:83->82:0:_
"
"organization-preparation:84->86:2:ref-prs-414,418
",organization,"preparation:84->86:2:ref-prs-414,418
"
"organization-preparation:85->86:0:_
",organization,"preparation:85->86:0:_
"
"causal-result:86->81:2:dm-so so-413,417",causal,"result:86->81:2:dm-so so-413,417"
restatement-repetition_m:87->86:1:_,restatement,repetition_m:87->86:1:_
"topic-question:88->89:2:lex-indwd-428+grf-qst-434
",topic,"question:88->89:2:lex-indwd-428+grf-qst-434
"
joint-other_m:89->8:2:lex-indwd-441,joint,other_m:89->8:2:lex-indwd-441
organization-phatic:90->89:0:lex-indph-446-447,organization,phatic:90->89:0:lex-indph-446-447
"restatement-repetition_m:91->89:1:ref-dem-435,449",restatement,"repetition_m:91->89:1:ref-dem-435,449"
"organization-phatic:92->89:3:lex-indwd-457+lex-indwd-458
",organization,"phatic:92->89:3:lex-indwd-457+lex-indwd-458
"
"organization-phatic:93->96:2:lex-indwd-460
",organization,"phatic:93->96:2:lex-indwd-460
"
"context-circumstance:94->96:1:dm-when-462
",context,"circumstance:94->96:1:dm-when-462
"
organization-phatic:95->96:0:_,organization,phatic:95->96:0:_
"context-background:96->89:4:ref-prs-435,464",context,"background:96->89:4:ref-prs-435,464"
context-background:97->99:2:_,context,background:97->99:2:_
topic-question:98->99:1:syn-sbinv-495+grf-qst-499,topic,question:98->99:1:syn-sbinv-495+grf-qst-499
joint-other_m:99->8:2:_,joint,other_m:99->8:2:_
"restatement-repetition_m:100->99:0:_
",restatement,"repetition_m:100->99:0:_
"
adversative-antithesis:101->99:3:_,adversative,antithesis:101->99:3:_
"elaboration-additional:102->101:0:ref-prs-507-508,511",elaboration,"additional:102->101:0:ref-prs-507-508,511"
"topic-question:103->104:0:syn-sbinv-514+grf-qst-521
",topic,"question:103->104:0:syn-sbinv-514+grf-qst-521
"
adversative-antithesis:104->107:1:_,adversative,antithesis:104->107:1:_
context-background:105->107:0:_,context,background:105->107:0:_
"restatement-repetition_m:106->105:0:sem-rpt-527,533",restatement,"repetition_m:106->105:0:sem-rpt-527,533"
adversative-antithesis:107->108:2:_,adversative,antithesis:107->108:2:_
"context-background:108->112:0:ref-prs-540,566+ref-prs-544,569",context,"background:108->112:0:ref-prs-540,566+ref-prs-544,569"
"causal-cause:109->108:0:dm-because-548
",causal,"cause:109->108:0:dm-because-548
"
evaluation-comment:110->108:1:_,evaluation,comment:110->108:1:_
organization-phatic:111->110:0:_,organization,phatic:111->110:0:_
"context-background:112->113:1:_
",context,"background:112->113:1:_
"
joint-other_m:113->8:2:_,joint,other_m:113->8:2:_
restatement-repetition_m:114->113:0:_,restatement,repetition_m:114->113:0:_
"evaluation-comment:115->119:1:lex-indwd-578
",evaluation,"comment:115->119:1:lex-indwd-578
"
restatement-repetition_m:116->115:0:_,restatement,repetition_m:116->115:0:_
"topic-question:117->118:0:lex-indwd-582+grf-qst-586
",topic,"question:117->118:0:lex-indwd-582+grf-qst-586
"
context-background:118->119:0:_,context,background:118->119:0:_
joint-other_m:119->8:2:_,joint,other_m:119->8:2:_
"evaluation-comment:120->119:2:lex-indwd-592
",evaluation,"comment:120->119:2:lex-indwd-592
"
"organization-preparation:121->122:0:ref-prs-598,605
",organization,"preparation:121->122:0:ref-prs-598,605
"
joint-other_m:122->8:2:_,joint,other_m:122->8:2:_
attribution-positive:123->124:0:sem-atsrc-610+lex-indwd-611,attribution,positive:123->124:0:sem-atsrc-610+lex-indwd-611
"organization-preparation:124->126:3:ref-prs-613,616
",organization,"preparation:124->126:3:ref-prs-613,616
"
attribution-positive:125->126:2:sem-atsrc-616+lex-indwd-617+syn-rpr-621,attribution,positive:125->126:2:sem-atsrc-616+lex-indwd-617+syn-rpr-621
"elaboration-additional:126->122:1:ref-prs-605,613",elaboration,"additional:126->122:1:ref-prs-605,613"
"context-circumstance:127->126:0:_;elaboration-attribute:127->126:0:0:syn-mdf-620+syn-relcl-623
",context,"circumstance:127->126:0:_;elaboration-attribute:127->126:0:0:syn-mdf-620+syn-relcl-623
"
same-unit_m:128->126:1:_,same,unit_m:128->126:1:_
organization-phatic:129->126:4:lex-indwd-634,organization,phatic:129->126:4:lex-indwd-634
restatement-repetition_m:130->129:0:_,restatement,repetition_m:130->129:0:_
context-background:131->132:0:_,context,background:131->132:0:_
explanation-evidence:132->126:5:_,explanation,evidence:132->126:5:_
organization-phatic:133->132:1:lex-indwd-649,organization,phatic:133->132:1:lex-indwd-649
topic-question:134->135:0:grf-qst-653,topic,question:134->135:0:grf-qst-653
restatement-repetition_m:135->133:0:_,restatement,repetition_m:135->133:0:_
"evaluation-comment:136->142:3:lex-indwd-656+lex-indwd-660
",evaluation,"comment:136->142:3:lex-indwd-656+lex-indwd-660
"
topic-question:137->138:0:grf-qst-666,topic,question:137->138:0:grf-qst-666
evaluation-comment:138->136:0:lex-indwd-669,evaluation,comment:138->136:0:lex-indwd-669
"adversative-contrast_m:139->138:1:_
",adversative,"contrast_m:139->138:1:_
"
organization-phatic:140->139:0:lex-indwd-677,organization,phatic:140->139:0:lex-indwd-677
joint-other_m:141->140:0:_,joint,other_m:141->140:0:_
"explanation-motivation:142->154:1:mrf-md-745
",explanation,"motivation:142->154:1:mrf-md-745
"
evaluation-comment:143->142:0:lex-indwd-692,evaluation,comment:143->142:0:lex-indwd-692
organization-phatic:144->145:0:_,organization,phatic:144->145:0:_
purpose-goal:145->142:1:_,purpose,goal:145->142:1:_
"restatement-repetition_m:146->142:2:ref-prs-683-690,702+sem-synym-685-690,704-707+sem-lxchn-688,705",restatement,"repetition_m:146->142:2:ref-prs-683-690,702+sem-synym-685-690,704-707+sem-lxchn-688,705"
purpose-goal:147->146:0:_,purpose,goal:147->146:0:_
organization-phatic:148->149:0:_,organization,phatic:148->149:0:_
causal-result:149->146:1:_,causal,result:149->146:1:_
evaluation-comment:150->149:1:lex-indwd-728,evaluation,comment:150->149:1:lex-indwd-728
evaluation-comment:151->152:1:_,evaluation,comment:151->152:1:_
adversative-concession:152->142:4:_,adversative,concession:152->142:4:_
"restatement-partial:153->152:0:ref-prs-732,741+dm-indeed-743",restatement,"partial:153->152:0:ref-prs-732,741+dm-indeed-743"
"joint-other_m:154->8:2:_
",joint,"other_m:154->8:2:_
"
"joint-sequence_m:155->154:0:_
",joint,"sequence_m:155->154:0:_
"
"joint-sequence_m:156->154:0:_
",joint,"sequence_m:156->154:0:_
"
organization-preparation:157->158:0:_,organization,preparation:157->158:0:_
explanation-justify:158->160:1:_,explanation,justify:158->160:1:_
attribution-positive:159->160:0:sem-atsrc-766+lex-indwd-767,attribution,positive:159->160:0:sem-atsrc-766+lex-indwd-767
joint-other_m:160->8:2:_,joint,other_m:160->8:2:_
organization-phatic:161->160:2:_,organization,phatic:161->160:2:_
causal-cause:162->166:0:dm-so-784+dm-so-800,causal,cause:162->166:0:dm-so-784+dm-so-800
topic-question:163->164:1:lex-indwd-786+grf-qst-791,topic,question:163->164:1:lex-indwd-786+grf-qst-791
"elaboration-additional:164->162:0:ref-prs-775,792+sem-synym-780-782,795",elaboration,"additional:164->162:0:ref-prs-775,792+sem-synym-780-782,795"
"restatement-partial:165->164:0:sem-rpt-795,797-798",restatement,"partial:165->164:0:sem-rpt-795,797-798"
"context-background:166->168:2:_
",context,"background:166->168:2:_
"
"organization-phatic:167->168:0:_
",organization,"phatic:167->168:0:_
"
"topic-question:168->171:1:syn-sbinv-809,816+grf-qst-821
",topic,"question:168->171:1:syn-sbinv-809,816+grf-qst-821
"
evaluation-comment:169->168:1:_,evaluation,comment:169->168:1:_
contingency-condition:170->171:0:lex-indph-828-829,contingency,condition:170->171:0:lex-indph-828-829
joint-other_m:171->8:2:_,joint,other_m:171->8:2:_
topic-question:172->173:1:lex-indwd-839+grf-qst-841,topic,question:172->173:1:lex-indwd-839+grf-qst-841
"joint-other_m:173->8:2:_
",joint,"other_m:173->8:2:_
"
"mode-means:174->173:0:_
",mode,"means:174->173:0:_
"
joint-sequence_m:175->174:0:_,joint,sequence_m:175->174:0:_
evaluation-comment:176->173:2:_,evaluation,comment:176->173:2:_
"restatement-repetition_m:177->176:0:_
",restatement,"repetition_m:177->176:0:_
"
organization-phatic:178->180:0:lex-indwd-862,organization,phatic:178->180:0:lex-indwd-862
restatement-repetition_m:179->178:0:_,restatement,repetition_m:179->178:0:_
causal-result:180->173:3:_,causal,result:180->173:3:_
"causal-cause:181->182:0:_
",causal,"cause:181->182:0:_
"
joint-other_m:182->8:2:_,joint,other_m:182->8:2:_
"evaluation-comment:183->182:1:_
",evaluation,"comment:183->182:1:_
"
restatement-repetition_m:184->183:0:_,restatement,repetition_m:184->183:0:_
restatement-repetition_m:185->184:0:_,restatement,repetition_m:185->184:0:_
"restatement-repetition_m:186->184:0:_
",restatement,"repetition_m:186->184:0:_
"
"restatement-repetition_m:187->183:0:_
",restatement,"repetition_m:187->183:0:_
"
"organization-preparation:188->191:2:_
",organization,"preparation:188->191:2:_
"
adversative-antithesis:189->191:1:_,adversative,antithesis:189->191:1:_
adversative-contrast_m:190->189:0:_,adversative,contrast_m:190->189:0:_
joint-other_m:191->8:2:_,joint,other_m:191->8:2:_
"restatement-repetition_m:192->191:0:sem-synym-907-918,920-922",restatement,"repetition_m:192->191:0:sem-synym-907-918,920-922"
"joint-other_m:193->8:2:_
",joint,"other_m:193->8:2:_
"
evaluation-comment:194->193:0:_,evaluation,comment:194->193:0:_
"restatement-repetition_m:195->194:0:sem-synym-931,934-935",restatement,"repetition_m:195->194:0:sem-synym-931,934-935"
organization-phatic:196->197:0:lex-indwd-939,organization,phatic:196->197:0:lex-indwd-939
joint-other_m:197->8:2:_,joint,other_m:197->8:2:_
